query,query_type,collection,search_time,avg_similarity_score,relevance_score,topic_coverage,topics_found,num_results
What phosphorylation site on TRIM23 is targeted by TBK1 during HSV-1 infection?,factual_comprehension,bert-500tokens,0.010306835174560547,0.8910989,0.0,0.0,[],5
What phosphorylation site on TRIM23 is targeted by TBK1 during HSV-1 infection?,factual_comprehension,bert-300tokens,0.010535001754760742,0.89945622,0.2,1.0,"['phosphorylation', 's39', 'trim23', 'tbk1']",5
What phosphorylation site on TRIM23 is targeted by TBK1 during HSV-1 infection?,factual_comprehension,biobert-500tokens,0.011452913284301758,0.8544553560000001,0.25,1.0,"['phosphorylation', 's39', 'trim23', 'tbk1']",5
What phosphorylation site on TRIM23 is targeted by TBK1 during HSV-1 infection?,factual_comprehension,biobert-300tokens,0.010677814483642578,0.8650989759999999,0.1,0.5,"['trim23', 'tbk1']",5
What phosphorylation site on TRIM23 is targeted by TBK1 during HSV-1 infection?,factual_comprehension,openai-large-1000tokens,0.041352033615112305,0.5781890919999999,0.55,1.0,"['phosphorylation', 's39', 'trim23', 'tbk1']",5
What phosphorylation site on TRIM23 is targeted by TBK1 during HSV-1 infection?,factual_comprehension,openai-large-500tokens,0.03275322914123535,0.62498542,0.95,1.0,"['phosphorylation', 's39', 'trim23', 'tbk1']",5
What phosphorylation site on TRIM23 is targeted by TBK1 during HSV-1 infection?,factual_comprehension,openai-large-300tokens,0.03461718559265137,0.6819563399999999,0.8,1.0,"['phosphorylation', 's39', 'trim23', 'tbk1']",5
How does TBK1-mediated TRIM23 phosphorylation lead to autophagy activation?,mechanistic,bert-500tokens,0.01177072525024414,0.900517252,0.0,0.0,[],5
How does TBK1-mediated TRIM23 phosphorylation lead to autophagy activation?,mechanistic,bert-300tokens,0.010556221008300781,0.9136249699999999,0.24,0.6,"['trim23', 'tbk1', 'autophagy']",5
How does TBK1-mediated TRIM23 phosphorylation lead to autophagy activation?,mechanistic,biobert-500tokens,0.010718107223510742,0.84213314,0.2,0.6,"['trim23', 'tbk1', 'autophagy']",5
How does TBK1-mediated TRIM23 phosphorylation lead to autophagy activation?,mechanistic,biobert-300tokens,0.011341094970703125,0.859257152,0.12,0.6,"['trim23', 'tbk1', 'autophagy']",5
How does TBK1-mediated TRIM23 phosphorylation lead to autophagy activation?,mechanistic,openai-large-1000tokens,0.0376131534576416,0.527622048,0.56,0.8,"['gtpase activity', 'trim23', 'tbk1', 'autophagy']",5
How does TBK1-mediated TRIM23 phosphorylation lead to autophagy activation?,mechanistic,openai-large-500tokens,0.025277137756347656,0.689754392,0.6,0.6,"['trim23', 'tbk1', 'autophagy']",5
How does TBK1-mediated TRIM23 phosphorylation lead to autophagy activation?,mechanistic,openai-large-300tokens,0.03356599807739258,0.743539378,0.6,0.6,"['trim23', 'tbk1', 'autophagy']",5
Which proteins are involved in the NF-κB pathway activation by HSV-ΔICP34.5?,factual_comprehension,bert-500tokens,0.011242151260375977,0.884754676,0.0,0.0,[],5
Which proteins are involved in the NF-κB pathway activation by HSV-ΔICP34.5?,factual_comprehension,bert-300tokens,0.010023832321166992,0.896970112,0.1,0.5,"['nf-κb', 'p65']",5
Which proteins are involved in the NF-κB pathway activation by HSV-ΔICP34.5?,factual_comprehension,biobert-500tokens,0.009762048721313477,0.8546975059999999,0.05,0.25,['nf-κb'],5
Which proteins are involved in the NF-κB pathway activation by HSV-ΔICP34.5?,factual_comprehension,biobert-300tokens,0.009829044342041016,0.86431977,0.0,0.0,[],5
Which proteins are involved in the NF-κB pathway activation by HSV-ΔICP34.5?,factual_comprehension,openai-large-1000tokens,0.03226971626281738,0.531935572,0.0,0.0,[],5
Which proteins are involved in the NF-κB pathway activation by HSV-ΔICP34.5?,factual_comprehension,openai-large-500tokens,0.03216099739074707,0.535079474,0.0,0.0,[],5
Which proteins are involved in the NF-κB pathway activation by HSV-ΔICP34.5?,factual_comprehension,openai-large-300tokens,0.0341799259185791,0.54542794,0.1,0.5,"['nf-κb', 'p65']",5
How does HSV-ΔICP34.5 promote HSF1 phosphorylation to reactivate HIV latency?,mechanistic,bert-500tokens,0.011260271072387695,0.9072733319999999,0.0,0.0,[],5
How does HSV-ΔICP34.5 promote HSF1 phosphorylation to reactivate HIV latency?,mechanistic,bert-300tokens,0.01083993911743164,0.91814514,0.0,0.0,[],5
How does HSV-ΔICP34.5 promote HSF1 phosphorylation to reactivate HIV latency?,mechanistic,biobert-500tokens,0.010273933410644531,0.8615881759999999,0.08,0.2,['phosphorylation'],5
How does HSV-ΔICP34.5 promote HSF1 phosphorylation to reactivate HIV latency?,mechanistic,biobert-300tokens,0.010351896286010742,0.876191854,0.0,0.0,[],5
How does HSV-ΔICP34.5 promote HSF1 phosphorylation to reactivate HIV latency?,mechanistic,openai-large-1000tokens,0.029637813568115234,0.62176498,0.04,0.2,['phosphorylation'],5
How does HSV-ΔICP34.5 promote HSF1 phosphorylation to reactivate HIV latency?,mechanistic,openai-large-500tokens,0.030155658721923828,0.642206968,0.04,0.2,['phosphorylation'],5
