query,query_type,collection,search_time,avg_similarity_score,relevance_score,topic_coverage,topics_found,num_results
What phosphorylation site on TRIM23 is targeted by TBK1 during HSV-1 infection?,factual_comprehension,bert-500tokens,0.011245012283325195,0.7882660679999999,0.3,0.5,"['trim23', 'tbk1']",5
What phosphorylation site on TRIM23 is targeted by TBK1 during HSV-1 infection?,factual_comprehension,bert-300tokens,0.00944209098815918,0.79916587,0.3,0.5,"['trim23', 'tbk1']",5
What phosphorylation site on TRIM23 is targeted by TBK1 during HSV-1 infection?,factual_comprehension,biobert-500tokens,0.012789011001586914,0.8544553560000001,0.25,1.0,"['phosphorylation', 's39', 'trim23', 'tbk1']",5
What phosphorylation site on TRIM23 is targeted by TBK1 during HSV-1 infection?,factual_comprehension,biobert-300tokens,0.012198925018310547,0.8650989759999999,0.1,0.5,"['trim23', 'tbk1']",5
What phosphorylation site on TRIM23 is targeted by TBK1 during HSV-1 infection?,factual_comprehension,openai-large-1000tokens,0.04559803009033203,0.57812558,0.55,1.0,"['phosphorylation', 's39', 'trim23', 'tbk1']",5
What phosphorylation site on TRIM23 is targeted by TBK1 during HSV-1 infection?,factual_comprehension,openai-large-500tokens,0.03373599052429199,0.6245622519999999,0.95,1.0,"['phosphorylation', 's39', 'trim23', 'tbk1']",5
What phosphorylation site on TRIM23 is targeted by TBK1 during HSV-1 infection?,factual_comprehension,openai-large-300tokens,0.03310203552246094,0.682150654,0.8,1.0,"['phosphorylation', 's39', 'trim23', 'tbk1']",5
How does TBK1-mediated TRIM23 phosphorylation lead to autophagy activation?,mechanistic,bert-500tokens,0.009454965591430664,0.75899653,0.36,0.6,"['autophagy', 'trim23', 'tbk1']",5
How does TBK1-mediated TRIM23 phosphorylation lead to autophagy activation?,mechanistic,bert-300tokens,0.01046133041381836,0.765455576,0.36,0.6,"['autophagy', 'trim23', 'tbk1']",5
How does TBK1-mediated TRIM23 phosphorylation lead to autophagy activation?,mechanistic,biobert-500tokens,0.009521245956420898,0.84213314,0.2,0.6,"['autophagy', 'trim23', 'tbk1']",5
How does TBK1-mediated TRIM23 phosphorylation lead to autophagy activation?,mechanistic,biobert-300tokens,0.01082611083984375,0.859257152,0.12,0.6,"['autophagy', 'trim23', 'tbk1']",5
How does TBK1-mediated TRIM23 phosphorylation lead to autophagy activation?,mechanistic,openai-large-1000tokens,0.03525567054748535,0.52740964,0.56,0.8,"['autophagy', 'gtpase activity', 'trim23', 'tbk1']",5
How does TBK1-mediated TRIM23 phosphorylation lead to autophagy activation?,mechanistic,openai-large-500tokens,0.027241230010986328,0.6895502880000001,0.6,0.6,"['autophagy', 'trim23', 'tbk1']",5
How does TBK1-mediated TRIM23 phosphorylation lead to autophagy activation?,mechanistic,openai-large-300tokens,0.03484535217285156,0.7436141179999999,0.6,0.6,"['autophagy', 'trim23', 'tbk1']",5
Which proteins are involved in the NF-κB pathway activation by HSV-ΔICP34.5?,factual_comprehension,bert-500tokens,0.011266946792602539,0.781864198,0.0,0.0,[],5
Which proteins are involved in the NF-κB pathway activation by HSV-ΔICP34.5?,factual_comprehension,bert-300tokens,0.009619951248168945,0.792181118,0.0,0.0,[],5
Which proteins are involved in the NF-κB pathway activation by HSV-ΔICP34.5?,factual_comprehension,biobert-500tokens,0.011240005493164062,0.8546975059999999,0.05,0.25,['nf-κb'],5
Which proteins are involved in the NF-κB pathway activation by HSV-ΔICP34.5?,factual_comprehension,biobert-300tokens,0.010248184204101562,0.86431977,0.0,0.0,[],5
Which proteins are involved in the NF-κB pathway activation by HSV-ΔICP34.5?,factual_comprehension,openai-large-1000tokens,0.034275054931640625,0.531753614,0.0,0.0,[],5
Which proteins are involved in the NF-κB pathway activation by HSV-ΔICP34.5?,factual_comprehension,openai-large-500tokens,0.035581350326538086,0.5352112120000001,0.0,0.0,[],5
Which proteins are involved in the NF-κB pathway activation by HSV-ΔICP34.5?,factual_comprehension,openai-large-300tokens,0.031713008880615234,0.54544362,0.1,0.5,"['nf-κb', 'p65']",5
How does HSV-ΔICP34.5 promote HSF1 phosphorylation to reactivate HIV latency?,mechanistic,bert-500tokens,0.010551214218139648,0.7832869619999999,0.08,0.2,['phosphorylation'],5
How does HSV-ΔICP34.5 promote HSF1 phosphorylation to reactivate HIV latency?,mechanistic,bert-300tokens,0.010020256042480469,0.793179728,0.0,0.0,[],5
How does HSV-ΔICP34.5 promote HSF1 phosphorylation to reactivate HIV latency?,mechanistic,biobert-500tokens,0.010091066360473633,0.8615881759999999,0.08,0.2,['phosphorylation'],5
How does HSV-ΔICP34.5 promote HSF1 phosphorylation to reactivate HIV latency?,mechanistic,biobert-300tokens,0.010467767715454102,0.876191854,0.0,0.0,[],5
How does HSV-ΔICP34.5 promote HSF1 phosphorylation to reactivate HIV latency?,mechanistic,openai-large-1000tokens,0.03204679489135742,0.6214975520000001,0.04,0.2,['phosphorylation'],5
How does HSV-ΔICP34.5 promote HSF1 phosphorylation to reactivate HIV latency?,mechanistic,openai-large-500tokens,0.028048038482666016,0.642140226,0.04,0.2,['phosphorylation'],5
How does HSV-ΔICP34.5 promote HSF1 phosphorylation to reactivate HIV latency?,mechanistic,openai-large-300tokens,0.024794816970825195,0.64092831,0.0,0.0,[],5
