query,query_type,collection,search_time,avg_similarity_score,relevance_score,topic_coverage,topics_found,num_results
What phosphorylation site on TRIM23 is targeted by TBK1 during HSV-1 infection?,factual_comprehension,bert-500tokens,0.011977910995483398,0.7882660679999999,0.3,0.5,"['tbk1', 'trim23']",5
What phosphorylation site on TRIM23 is targeted by TBK1 during HSV-1 infection?,factual_comprehension,bert-300tokens,0.008578062057495117,0.79916587,0.3,0.5,"['tbk1', 'trim23']",5
What phosphorylation site on TRIM23 is targeted by TBK1 during HSV-1 infection?,factual_comprehension,pubmedbert-500tokens,0.011466026306152344,0.8910989,0.0,0.0,[],5
What phosphorylation site on TRIM23 is targeted by TBK1 during HSV-1 infection?,factual_comprehension,pubmedbert-300tokens,0.014256000518798828,0.898276872,0.0,0.0,[],5
What phosphorylation site on TRIM23 is targeted by TBK1 during HSV-1 infection?,factual_comprehension,biobert-500tokens,0.01146697998046875,0.9159666200000001,0.3,1.0,"['tbk1', 'phosphorylation', 'trim23', 's39']",5
What phosphorylation site on TRIM23 is targeted by TBK1 during HSV-1 infection?,factual_comprehension,biobert-300tokens,0.011931896209716797,0.9223745259999999,0.2,0.5,"['tbk1', 'trim23']",5
What phosphorylation site on TRIM23 is targeted by TBK1 during HSV-1 infection?,factual_comprehension,openai-large-1000tokens,0.03313803672790527,0.578221986,0.55,1.0,"['tbk1', 'phosphorylation', 'trim23', 's39']",5
What phosphorylation site on TRIM23 is targeted by TBK1 during HSV-1 infection?,factual_comprehension,openai-large-500tokens,0.03438997268676758,0.624554882,0.95,1.0,"['tbk1', 'phosphorylation', 'trim23', 's39']",5
What phosphorylation site on TRIM23 is targeted by TBK1 during HSV-1 infection?,factual_comprehension,openai-large-300tokens,0.032514095306396484,0.6820805059999999,0.8,1.0,"['tbk1', 'phosphorylation', 'trim23', 's39']",5
How does TBK1-mediated TRIM23 phosphorylation lead to autophagy activation?,mechanistic,bert-500tokens,0.010499954223632812,0.75899653,0.36,0.6,"['tbk1', 'autophagy', 'trim23']",5
How does TBK1-mediated TRIM23 phosphorylation lead to autophagy activation?,mechanistic,bert-300tokens,0.01171731948852539,0.765455576,0.36,0.6,"['tbk1', 'autophagy', 'trim23']",5
How does TBK1-mediated TRIM23 phosphorylation lead to autophagy activation?,mechanistic,pubmedbert-500tokens,0.01122593879699707,0.900517252,0.0,0.0,[],5
How does TBK1-mediated TRIM23 phosphorylation lead to autophagy activation?,mechanistic,pubmedbert-300tokens,0.009672880172729492,0.909403742,0.12,0.6,"['trim23', 'autophagy', 'tbk1']",5
How does TBK1-mediated TRIM23 phosphorylation lead to autophagy activation?,mechanistic,biobert-500tokens,0.009908914566040039,0.894375026,0.32,0.8,"['trim23', 'autophagy', 'tbk1', 'gtpase activity']",5
How does TBK1-mediated TRIM23 phosphorylation lead to autophagy activation?,mechanistic,biobert-300tokens,0.009434223175048828,0.9030234500000001,0.36,0.8,"['trim23', 'autophagy', 'tbk1', 'gtpase activity']",5
How does TBK1-mediated TRIM23 phosphorylation lead to autophagy activation?,mechanistic,openai-large-1000tokens,0.03509187698364258,0.52772854,0.56,0.8,"['trim23', 'autophagy', 'tbk1', 'gtpase activity']",5
How does TBK1-mediated TRIM23 phosphorylation lead to autophagy activation?,mechanistic,openai-large-500tokens,0.045056819915771484,0.689592478,0.6,0.6,"['trim23', 'autophagy', 'tbk1']",5
How does TBK1-mediated TRIM23 phosphorylation lead to autophagy activation?,mechanistic,openai-large-300tokens,0.0341038703918457,0.7435382660000001,0.6,0.6,"['trim23', 'autophagy', 'tbk1']",5
Which proteins are involved in the NF-κB pathway activation by HSV-ΔICP34.5?,factual_comprehension,bert-500tokens,0.009676933288574219,0.781864198,0.0,0.0,[],5
Which proteins are involved in the NF-κB pathway activation by HSV-ΔICP34.5?,factual_comprehension,bert-300tokens,0.009826898574829102,0.792181118,0.0,0.0,[],5
Which proteins are involved in the NF-κB pathway activation by HSV-ΔICP34.5?,factual_comprehension,pubmedbert-500tokens,0.010823965072631836,0.884754676,0.0,0.0,[],5
Which proteins are involved in the NF-κB pathway activation by HSV-ΔICP34.5?,factual_comprehension,pubmedbert-300tokens,0.010574817657470703,0.8975067080000001,0.0,0.0,[],5
Which proteins are involved in the NF-κB pathway activation by HSV-ΔICP34.5?,factual_comprehension,biobert-500tokens,0.010671854019165039,0.912671402,0.0,0.0,[],5
Which proteins are involved in the NF-κB pathway activation by HSV-ΔICP34.5?,factual_comprehension,biobert-300tokens,0.01415705680847168,0.9218632980000001,0.0,0.0,[],5
Which proteins are involved in the NF-κB pathway activation by HSV-ΔICP34.5?,factual_comprehension,openai-large-1000tokens,0.03234386444091797,0.5317441900000001,0.0,0.0,[],5
